"BatterHand","BattedBallType","Location","Result","ExpOBP","ExpSLG","Exp2OPS","ExpOBP_sd","ExpSLG_sd","Exp2OPS_sd","ExpOBP_n","ExpSLG_n","Exp2OPS_n"
"L","GB","4","GIDP",0.46912007152335,1.37676023666251,0.72475478608407,0.180943027173976,0.926349488323454,0.391592844907912,24,24,24
"L","GB","4","GO",0.325510067192415,0.818369629537636,0.457245581254914,0.184712396495893,0.642618103960018,0.299775679637908,252,252,252
"L","GB","4","HIDP",0.676937461739288,1.68149807077983,0.944097251912208,0.119214441231006,1.26819517951128,0.482006306414447,3,3,3
"L","GB","4","ROE",0.348424632871485,0.910952953224595,0.50109160970204,0.146678930242439,0.501100824547679,0.238248443929728,12,12,12
"L","GB","46","1B",0.563505765098752,1.50963425399948,0.822531351555786,0.205681076708312,0.825572730392492,0.362310753773507,87,87,87
"L","GB","5","1B",0.399771463868113,0.818841011272158,0.499484166615983,0.31532539244386,0.75366238834557,0.398220994443797,9,9,9
"L","GB","5","FC",0.241372539177264,0.531879956031788,0.314071090877713,0.0400695446025059,0.221493897652166,0.0875433662028824,5,5,5
"L","GB","5","GIDP",0.552296020710764,1.72998322585347,0.889628820353923,0.158252732427845,0.516676522351466,0.241999902486553,5,5,5
"L","GB","5","GO",0.335072783291344,0.852207382045646,0.473943704546977,0.162411017886379,0.631558908419932,0.284504290142977,51,51,51
"L","GB","5","ROE",0.372832195229129,0.690336136688831,0.44138362285945,0.153927260674045,0.207479614226,0.107674254344516,7,7,7
"L","GB","56","1B",0.592168615538565,1.38219066810657,0.796292438174043,0.16994814128675,0.869096682337392,0.349765605954512,42,42,42
"L","GB","6","FC",0.396341212562769,0.960796087408188,0.544858716254965,0.155723559401806,0.722918290156735,0.299216187021182,15,15,15
"L","GB","6","GIDP",0.495205702830192,1.25892270484719,0.700257466552838,0.219721649132396,0.781840702534651,0.348503496233952,22,22,22
"L","GB","6","GO",0.392982179098896,0.939651197257922,0.535906967242015,0.217239196634897,0.676431635401381,0.325366712660432,96,96,96
"L","GB","6","HIDP",0.257837289620464,0.586932549422592,0.34175198059246,0.123422424798872,0.539969507621599,0.249170652416632,3,3,3
"L","GB","6","ROE",0.264201492879247,0.593483857451781,0.347542131782167,0.227452043522274,0.242593519056528,0.173885345851747,6,6,6
"L","GB",NA,"FC",0.488807341318341,1.71082569461419,0.847266058285124,0,0.345638985739966,0.115212995246655,2,2,2
"L","LD","1","LO",0.540811021249213,2.16324408499685,1.0275409403735,NA,NA,NA,1,1,1
"L","LD","3","LO",0.732934573756669,2.06353903024759,1.10317593521131,0.089378808289531,1.039674356089,0.373735107633437,9,9,9
"L","LD","4","LO",0.760074653865827,1.85330987112049,1.04847892756413,0.0769161066811913,0.935211974540132,0.312361187744334,19,19,19
"L","LD","5","LIDP",0.595675972344592,0.595675972344592,0.536108375110133,NA,NA,NA,1,1,1
"L","LD","5","LO",0.798928734382975,1.35184017118916,0.903339673213406,0.105441782746641,0.56205511004387,0.235707098748275,3,3,3
"L","LD","6","LIDP",0.768026859461254,2.30408057838376,1.20324207982263,NA,NA,NA,1,1,1
"L","LD","6","LO",0.638770754083038,1.57672432349553,0.887544868478899,0.260567515289396,0.969221319735728,0.430554241458205,20,20,20
"L","LD","7","LO",0.546368999870056,1.45611972655604,0.794982342111713,0.14375434366098,0.802485639126687,0.316157522196959,18,18,18
"L","LD","8","LO",0.398544827195033,0.93501346620759,0.537513224146382,0.139922928568418,0.569104309824376,0.247762392163478,31,31,31
"L","LD","9","LO",0.606872493483541,1.52864897170056,0.853444070207526,0.165021792761847,0.789322970418793,0.326450970994497,24,24,24
"L","LD/FB","7","1B",0.677989439652013,1.8673849207465,1.00665565605164,0.205286385242035,0.961436523287678,0.404445349571323,46,46,46
"L","LD/FB","7","2B",0.405155098794818,1.02945631363222,0.572739993861138,0.287041405790879,1.08053090100282,0.49831028924028,13,13,13
"L","LD/FB","7","3B",0.0589406052287412,0.117881210457482,0.0726934131154475,NA,NA,NA,1,1,1
