"FullName","TARAbbrev","TMAbbrev","PlayByPlayStyle","URL","ScheduleStyle","TeamWithNickname"
"MichiganState","MSU","MSU_SPA","","",NA,NA
"MichiganSt","MSU","","","",NA,NA
"SaintMartin's","MT2","","","",NA,""
"MiddleTenn","MTN","","","",NA,""
"Muskingum","MU2","","","",NA,""
"MurrayState","MUR","MUR_RAC","","",NA,NA
"MurraySt","MUR","MUR_RAC","","",NA,NA
"","MUR","MUR_RAC","","",NA,"MurrayStRacers"
"Moravian","MV3","","","",NA,""
"MississippiVal","MVS","","","",NA,""
"Maryville(TN)","MY3","","","",NA,""
"MissouriSt","MZS","MIS_BEA","","",NA,""
"MissouriValley","ZV4","","","",NA,""
"TBA","NA_","","","",NA,""
"NorthAla","NA2","","","",NA,""
"Navy","NAV","NAV_MID","","",NA,NA
"NorthCentral(IL)","NC3","","","",NA,""
"UNCAsheville","NCA","NCA_BUL","","",NA,NA
"","NCA","","","",NA,"UNCAshevilleBulldogs"
"N.C.Central","NCC","NOR_EAG","","",NA,NA
"NorthCarolinaCentral","NCC","NOR_EAG","","",NA,NA
"NCCentral","NCC","NOR_EAG","","",NA,""
"UNCG","NCG","UNC_SPA","","",NA,NA
"UNCGreensboro","NCG","UNC_SPA","","",NA,NA
"NorthernColo","NCO","","","",NA,""
"NCState","NCS","NOR_WOL","sameasLouisville","http://gopack",NA,NA
"NorthCarolinaState","NCS","NOR_WOL","","http://gopack",NA,NA
"NorthCarolinaSt","NCS","","","",NA,NA
"","NCS","","","",NA,"NorthCarolinaStWolfpack"
"UNC-Wilmington","NCW","UNC_SEA","","",NA,NA
"UNCW","NCW","","","",NA,NA
"UNCWilmington","NCW","","","",NA,NA
"","NCW","","","",NA,"UNCWSeahawks"
"NotreDame(OH)","ND2","","","",NA,""
"NorthDakotaSt","NDS","","","",NA,""
"NorthDakota","NDU","","","",NA,""
"Northeastern","NEA","NOR_HUS","","",NA,NA
"","NEA","NOR_HUS","","",NA,"NortheasternHuskies"
"Nebraska","NEB","","","",NA,NA
"Omaha","NEO","","","",NA,NA
"Nevada","NEV","","","",NA,NA
"NorthFlorida","NFU","","","",NA,NA
"","NFU","","","",NA,"NorthFloridaOspreys"
"NorthGreenville","NG2","","","",NA,""
"Niagara","NIA","","","",NA,NA
"Niagra","NIA","NIA_PUR","","",NA,NA
"","NIA","","","",NA,"NiagaraPurpleEagles"
"Nicholls","NIC","","","",NA,NA
"NorthernIllinois","NIU","NIU_HUS","","",NA,NA
"NorthernIll","NIU","NIU_HUS","","",NA,""
"NJIT","NJT","","","",NA,""
"NorthernKentucky","NKU","","","",NA,NA
"NorthernKy","NKU","","","",NA,NA
"","NKU","","","",NA,"NorthernKyNorse"
"UNLV","NLV","NLV_REB","","",NA,NA
"NewMexicoSt","NMS","","","",NA,""
"NorthwesternOhio","NO4","","","",NA,""
"NotreDame","NOD","NOT_IRI","","",NA,NA
"","NOD","","","",NA,"NotreDameFightingIrish"
"NorfolkSt","NOS","","","",NA,NA
"NorfolkState","NOS","","","",NA,NA
"","NOS","","","",NA,"NorfolkStSpartans"
"NovaSoutheastern","NS2","","","",NA,""
"NichollsSt","NIC","","","",NA,""
"NorthwesternState","NSW","","","",NA,NA
"NorthwesternState","NSW","","","",NA,NA
"NorthwesternSt","NSW","","","",NA,""
"","NSW","","","",NA,"NorthwesternStDemons"
"Northwestern","NWS","","","",NA,NA
"Nyack","NY2","","","",NA,""
"NewYorkTech","NYI","","","",NA,NA
"NYIT","NYI","","","",NA,NA
"Oakland","OAK","","","",NA,NA
"","OAK","","","",NA,"OaklandGoldenGrizzlies"
"OldDominion","ODU","","","",NA,NA
"","ODU","","","",NA,"OldDominionMonarchs"
"Oglethorpe","OG3","","","",NA,""
"Ohio","OHI","OHI_BOB","","",NA,NA
"","OHI","","","",NA,"OhioBobcats"
"OhioState","OHS","OSU_BUC","","",NA,NA
"OhioSt","OHS","OSU_BUC","","",NA,""
"","OHS","OSU_BUC","","",NA,"OhioStBuckeyes"
"Oklahoma","OKL","OKL_SOO","","",NA,NA
"","OKL","OKL_SOO","","",NA,"OklahomaSooners"
"OklahomaState","OKS","OKL_COW","","",NA,NA
"OklahomaSt","OKS","","","",NA,NA
"","OKS","","","",NA,"OklahomaStCowboys"
